1,KBS1,일일드라마(결혼하자맹꽁아),12.0,2024.10.22
2,KBS2,일일드라마(스캔들),8.7,2024.10.22
3,KBS1,인간극장,8.6,2024.10.22
4,KBS1,KBS9시뉴스,8.5,2024.10.22
5,KBS1,아침마당,7.7,2024.10.22
6,MBC,MBC뉴스데스크,6.8,2024.10.22
7,KBS1,6시내고향,6.7,2024.10.22
8,SBS,신발벗고돌싱포맨,6.5,2024.10.22
9,MBC,일일드라마(용감무쌍용수정),6.4,2024.10.22
10,KBS1,KBS뉴스광장2부,5.1,2024.10.22
11,KBS1,KBS뉴스930,4.8,2024.10.22
11,KBS1,KBS뉴스7,4.8,2024.10.22
13,SBS,SBS8뉴스,4.6,2024.10.22
14,KBS1,이웃집찰스,4.0,2024.10.22
15,KBS1,KBS뉴스5,3.0,2024.10.22
15,KBS1,동물의왕국,3.0,2024.10.22
17,SBS,모닝와이드3부,2.9,2024.10.22
17,MBC,오늘N,2.9,2024.10.22
19,KBS1,KBS뉴스광장1부,2.8,2024.10.22
20,MBC,PD수첩,2.7,2024.10.22
